0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:27:04 +0900] "GET /board/list?pageNum=5&amount=10&type=&keyword= HTTP/1.1" 200 28855
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:27:05 +0900] "GET /board/get?pageNum=5&amount=10&type=&keyword=&bno=52 HTTP/1.1" 200 22683
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:27:06 +0900] "GET /board/list?pageNum=5&amount=10&keyword=&type= HTTP/1.1" 200 28855
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:27:11 +0900] "GET /board/get?pageNum=5&amount=10&type=&keyword=&bno=52 HTTP/1.1" 200 22683
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:27:16 +0900] "GET /board/list?pageNum=5&amount=10&keyword=&type= HTTP/1.1" 200 28855
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:27:59 +0900] "GET /board/get?pageNum=5&amount=10&type=&keyword=&bno=54 HTTP/1.1" 200 22663
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:28:01 +0900] "GET /board/modify?bno=54&pageNum=5&amount=10&keyword=&type= HTTP/1.1" 200 23496
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:34:19 +0900] "POST /board/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:34:19 +0900] "GET /board/list?pageNum=5&amount=10 HTTP/1.1" 200 28870
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:35:59 +0900] "GET /board/get?pageNum=5&amount=10&type=&keyword=&bno=53&bno=53&bno=53 HTTP/1.1" 200 22700
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:35:59 +0900] "GET /board/get?pageNum=5&amount=10&type=&keyword=&bno=53 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:35:59 +0900] "GET /board/get?pageNum=5&amount=10&type=&keyword=&bno=53&bno=53 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:01 +0900] "GET /board/modify?bno=53&pageNum=5&amount=10&keyword=&type= HTTP/1.1" 200 23533
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:02 +0900] "POST /board/remove HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:02 +0900] "GET /board/list?pageNum=5&amount=10 HTTP/1.1" 200 28870
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:08 +0900] "GET /board/list?pageNum=5&amount=10 HTTP/1.1" 200 28863
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [28/Apr/2021:15:36:09 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
